Date,Confirmed,Deceased,Recovered
2020-03-14,14,0,0
2020-03-15,18,0,0
2020-03-16,6,0,0
2020-03-17,3,1,0
2020-03-18,3,0,0
2020-03-19,4,0,0
2020-03-20,4,0,0
2020-03-21,12,0,0
2020-03-22,10,1,0
2020-03-23,23,0,0
2020-03-24,10,0,0
2020-03-25,15,0,1
2020-03-26,3,1,0
2020-03-27,31,1,18
2020-03-28,30,2,6
2020-03-29,17,1,0
2020-03-30,17,2,14
2020-03-31,82,1,0
2020-04-01,33,3,0
2020-04-02,88,8,3
2020-04-03,64,5,8
2020-04-04,148,6,2
2020-04-05,112,13,4
2020-04-06,121,7,14
2020-04-07,150,12,9
2020-04-08,117,8,38
2020-04-09,229,25,8
2020-04-10,210,12,63
2020-04-11,187,17,20
2020-04-12,221,22,9
2020-04-13,352,11,12
2020-04-14,346,18,30
2020-04-15,236,9,36
2020-04-16,285,7,5
2020-04-17,120,7,31
2020-04-18,327,10,34
2020-04-19,552,12,142
2020-04-20,466,9,65
2020-04-21,552,19,150
2020-04-22,431,18,67
2020-04-23,778,14,51
2020-04-24,390,18,117
2020-04-25,811,22,119
2020-04-26,440,19,112
2020-04-27,522,27,94
2020-04-28,728,31,106
2020-04-29,597,32,205
2020-04-30,583,27,180
2020-05-01,1008,26,106
2020-05-02,790,36,121
2020-05-03,678,27,115
2020-05-04,1567,35,350
2020-05-05,984,34,354
2020-05-06,1233,34,275
2020-05-07,1216,43,207
2020-05-08,1089,37,169
2020-05-09,1165,48,330
2020-05-10,1943,53,399
2020-05-11,1230,36,587
2020-05-12,1026,53,339
2020-05-13,1495,54,422
2020-05-14,1602,44,542
2020-05-15,1576,49,475
2020-05-16,1606,67,524
2020-05-17,2347,63,600
2020-05-18,2005,51,749
2020-05-19,2078,76,1202
2020-05-20,2161,65,679
2020-05-21,2345,64,1408
2020-05-22,2940,63,857
2020-05-23,2608,60,821
2020-05-24,3041,58,1196
2020-05-25,2436,60,1186
2020-05-26,2091,97,1168
2020-05-27,2190,105,964
2020-05-28,2598,85,698
2020-05-29,2682,116,8381
2020-05-30,2940,99,1084
2020-05-31,2487,89,1248
2020-06-01,2358,76,779
2020-06-02,2287,103,1225
2020-06-03,2560,122,996
2020-06-04,2933,123,1352
2020-06-05,2436,139,1466
2020-06-06,2739,120,2243
2020-06-07,3007,91,1924
2020-06-08,2554,109,1661
2020-06-09,2258,120,1664
2020-06-10,3254,149,1877
2020-06-11,3607,152,1562
2020-06-12,3493,127,1718
2020-06-13,3427,113,1550
2020-06-14,3390,120,1632
2020-06-15,2786,178,5071
2020-06-16,2701,1409,1802
2020-06-17,3307,114,1315
2020-06-18,3752,100,1672
2020-06-19,3827,142,1935
2020-06-20,3874,91,1380
2020-06-21,3870,186,1591
2020-06-22,3721,113,1962
2020-06-23,3214,248,1925
2020-06-24,3889,208,4161
2020-06-25,4842,192,3661
2020-06-26,5024,175,2362
2020-06-27,6368,167,4430
2020-06-28,5493,156,2330
2020-06-29,5257,181,2385
2020-06-30,4878,245,1951
2020-07-01,5537,198,2243
2020-07-02,6328,125,8018
2020-07-03,6364,198,3515
2020-07-04,7074,295,3395
2020-07-05,6555,151,3658
2020-07-06,5368,204,3522
2020-07-07,5134,224,3296
2020-07-08,6603,198,4634
2020-07-09,6875,219,4067
2020-07-10,7862,226,5366
2020-07-11,8139,223,4360
2020-07-12,7827,173,3340
2020-07-13,6497,193,4182
2020-07-14,6741,213,4500
2020-07-15,7975,233,3606
2020-07-16,8641,266,5527
2020-07-17,8308,258,2217
2020-07-18,8348,144,5306
2020-07-19,9518,258,3906
2020-07-20,8240,176,5460
2020-07-21,8336,246,7188
2020-07-22,10576,280,5552
2020-07-23,9895,298,6484
2020-07-24,9615,278,5714
2020-07-25,9251,257,7227
2020-07-26,9431,267,6044
2020-07-27,7924,227,8706
2020-07-28,7717,282,10333
2020-07-29,9211,298,7478
2020-07-30,11147,266,8860
2020-07-31,10320,265,7543
2020-08-01,9601,322,10725
2020-08-02,9509,260,9926
2020-08-03,8968,266,10221
2020-08-04,7760,300,12326
2020-08-05,10309,334,6165
2020-08-06,11514,316,10854
2020-08-07,10483,300,10906
2020-08-08,12822,275,11081
