Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,0,0,0
2020-03-21,0,0,0
2020-03-22,0,0,0
2020-03-23,0,0,0
2020-03-24,0,0,0
2020-03-25,0,0,0
2020-03-26,0,0,0
2020-03-27,0,0,0
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,0,0,0
2020-03-31,1,0,0
2020-04-01,15,0,0
2020-04-02,0,0,0
2020-04-03,7,0,0
2020-04-04,3,0,0
2020-04-05,0,0,0
2020-04-06,0,0,0
2020-04-07,2,0,0
2020-04-08,0,0,0
2020-04-09,1,0,0
2020-04-10,0,1,0
2020-04-11,0,0,0
2020-04-12,1,0,0
2020-04-13,2,0,0
2020-04-14,1,0,0
2020-04-15,0,0,2
2020-04-16,2,0,3
2020-04-17,0,0,4
2020-04-18,0,0,3
2020-04-19,0,0,5
2020-04-20,0,0,2
2020-04-21,0,0,0
2020-04-22,0,0,0
2020-04-23,1,0,0
2020-04-24,0,0,0
2020-04-25,0,0,0
2020-04-26,0,0,8
2020-04-27,0,0,0
2020-04-28,2,0,0
2020-04-29,0,0,2
2020-04-30,5,0,0
2020-05-01,0,0,4
2020-05-02,0,0,0
2020-05-03,0,0,0
2020-05-04,0,0,0
2020-05-05,2,0,0
2020-05-06,1,0,2
2020-05-07,8,0,0
2020-05-08,6,1,0
2020-05-09,2,-1,0
2020-05-10,1,0,0
2020-05-11,2,0,5
2020-05-12,0,0,0
2020-05-13,15,0,0
2020-05-14,7,0,0
2020-05-15,3,0,1
2020-05-16,3,0,0
2020-05-17,8,0,1
2020-05-18,15,2,0
2020-05-19,42,0,0
2020-05-20,31,0,7
2020-05-21,22,0,6
2020-05-22,15,0,0
2020-05-23,121,0,2
2020-05-24,46,0,1
2020-05-25,156,0,5
2020-05-26,134,0,0
2020-05-27,101,0,25
2020-05-28,97,0,16
2020-05-29,177,0,22
2020-05-30,159,0,38
2020-05-31,123,0,22
2020-06-01,146,0,99
2020-06-02,74,0,53
2020-06-03,271,0,76
2020-06-04,285,0,46
2020-06-05,128,0,50
2020-06-06,230,0,79
2020-06-07,208,0,48
2020-06-08,154,0,148
2020-06-09,215,1,312
2020-06-10,235,1,152
2020-06-11,145,0,184
2020-06-12,263,2,152
2020-06-13,207,0,221
2020-06-14,218,0,155
2020-06-15,191,0,245
2020-06-16,201,0,206
2020-06-17,184,0,231
2020-06-18,209,1,206
2020-06-19,0,0,218
2020-06-20,249,0,136
2020-06-21,332,0,202
2020-06-22,267,0,161
2020-06-23,203,0,197
2020-06-24,226,0,196
2020-06-25,364,0,75
2020-06-26,273,0,214
2020-06-27,246,1,567
2020-06-28,327,1,274
2020-06-29,302,0,245
2020-06-30,613,1,314
2020-07-01,548,0,184
2020-07-02,479,2,275
2020-07-03,365,0,221
2020-07-04,1202,0,416
2020-07-05,735,0,690
2020-07-06,786,0,508
2020-07-07,814,2,388
2020-07-08,696,6,397
2020-07-09,568,5,421
2020-07-10,936,8,701
2020-07-11,535,2,578
2020-07-12,735,4,468
2020-07-13,1001,4,522
2020-07-14,859,6,757
2020-07-15,1088,2,715
2020-07-16,892,2,666
2020-07-17,1218,1,551
2020-07-18,1117,2,1060
2020-07-19,1018,4,858
2020-07-20,1093,1,1072
2020-07-21,1680,6,938
2020-07-22,972,2,1317
2020-07-23,1047,4,1349
2020-07-24,1130,6,1062
2020-07-25,1165,1,1294
2020-07-26,1142,2,985
2020-07-27,1348,7,1362
2020-07-28,1371,2,1216
2020-07-29,1348,4,1214
2020-07-30,2112,2,1248
2020-07-31,1862,4,1277
2020-08-01,1457,3,1085
2020-08-02,1178,4,942
2020-08-03,2371,4,1044
2020-08-04,2886,6,993
2020-08-05,2284,6,1471
2020-08-06,2372,5,1332
2020-08-07,2679,6,1585
2020-08-08,2218,8,1782
2020-08-09,1123,5,1734
2020-08-10,2900,6,1261
2020-08-11,2669,4,1487
2020-08-12,4593,6,2136
2020-08-13,2796,8,2174
2020-08-14,2706,6,2310
2020-08-15,1057,7,1593
2020-08-16,1317,7,1929
2020-08-17,2792,8,1519
2020-08-18,2534,6,1560
2020-08-19,2116,10,2054
2020-08-20,1735,8,2772
2020-08-21,1856,6,2476
2020-08-22,1560,7,2045
2020-08-23,1272,8,3259
2020-08-24,1879,10,2190
2020-08-25,1973,8,1724
2020-08-26,2179,14,2148
2020-08-27,2036,4,2345
2020-08-28,2560,8,1763
2020-08-29,2427,3,1440
2020-08-30,1980,7,1417
2020-08-31,3266,10,1531
2020-09-01,2684,9,1434
2020-09-02,3555,8,1834
2020-09-03,3054,7,1971
2020-09-04,2891,15,2020
2020-09-05,2698,7,2343
2020-09-06,1537,8,1763
2020-09-07,2785,10,2250
2020-09-08,2578,8,2166
2020-09-09,2243,18,2265
2020-09-10,2739,18,2197
2020-09-11,2534,16,2628
2020-09-12,2132,23,2553
2020-09-13,1292,16,2251
2020-09-14,2403,13,1918
2020-09-15,2409,10,1848
2020-09-16,2394,19,2464
2020-09-17,1380,17,2246
2020-09-18,2509,12,2074
2020-09-19,2595,8,1856
2020-09-20,1227,14,1795
2020-09-21,2640,16,1795
2020-09-22,2073,8,1817
2020-09-23,2098,11,1762
2020-09-24,2091,11,2432
2020-09-25,1792,17,1571
2020-09-26,1736,13,1595
2020-09-27,875,17,1670
2020-09-28,3644,12,2320
2020-09-29,3592,13,1702
2020-09-30,3590,17,1616
2020-10-01,1585,14,1904
2020-10-02,1416,10,1441
2020-10-03,1632,14,1813
2020-10-04,756,14,1351
2020-10-05,1518,11,1364
2020-10-06,1184,18,1586
2020-10-07,1307,7,2561
2020-10-08,1188,9,2198
2020-10-09,1019,8,2068
2020-10-10,971,9,1451
2020-10-11,396,5,1227
2020-10-12,1521,10,1457
2020-10-13,1482,4,1020
2020-10-14,1427,4,1013
2020-10-15,769,9,1263
2020-10-16,767,10,931
2020-10-17,642,12,818
2020-10-18,318,3,599
2020-10-19,698,7,1530
2020-10-20,666,9,1201
2020-10-21,701,5,1664
2020-10-22,508,7,1584
2020-10-23,427,4,2184
2020-10-24,258,2,2948
2020-10-25,204,4,2961
2020-10-26,215,2,2832
2020-10-27,403,6,2443
2020-10-28,448,3,1487
2020-10-29,398,6,1057
2020-10-30,380,3,1094
2020-10-31,336,4,1386
2020-11-01,166,1,730
2020-11-02,465,1,785
2020-11-03,379,2,473
2020-11-04,380,0,655
2020-11-05,313,0,761
2020-11-06,335,4,926
2020-11-07,248,2,555
2020-11-08,152,4,395
2020-11-09,328,4,508
2020-11-10,271,5,629
2020-11-11,245,2,837
2020-11-12,202,3,771
2020-11-13,233,1,642
2020-11-14,107,3,529
2020-11-15,93,2,389
2020-11-16,186,1,405
2020-11-17,242,2,357
2020-11-18,169,3,210
2020-11-19,175,0,267
2020-11-20,164,2,151
2020-11-21,223,2,193
2020-11-22,86,1,175
2020-11-23,169,1,131
2020-11-24,157,1,121
2020-11-25,182,2,117
2020-11-26,150,0,142
2020-11-27,149,2,160
2020-11-28,163,0,122
2020-11-29,134,1,96
2020-11-30,159,0,110
2020-12-01,222,0,135
2020-12-02,173,2,138
2020-12-03,165,2,177
2020-12-04,169,2,121
2020-12-05,157,2,163
2020-12-06,97,4,84
2020-12-07,166,2,131
2020-12-08,94,2,102
2020-12-09,146,1,178
2020-12-10,140,1,165
2020-12-11,127,1,149
2020-12-12,152,0,118
2020-12-13,73,2,117
2020-12-14,146,1,125
2020-12-15,142,1,102
2020-12-16,97,3,90
2020-12-17,106,3,124
2020-12-18,102,1,85
2020-12-19,96,1,108
2020-12-20,63,5,64
2020-12-21,101,3,93
2020-12-22,75,4,113
2020-12-23,95,5,103
2020-12-24,95,4,105
2020-12-25,61,0,95
2020-12-26,74,2,105
2020-12-27,29,2,60
2020-12-28,58,1,90
2020-12-29,66,2,87
2020-12-30,76,3,115
2020-12-31,72,2,72
2021-01-01,40,4,82
2021-01-02,38,2,80
2021-01-03,15,1,60
2021-01-04,36,2,67
2021-01-05,41,3,50
2021-01-06,43,0,79
2021-01-07,57,2,48
2021-01-08,50,0,54
2021-01-09,34,1,56
2021-01-10,25,1,29
2021-01-11,45,3,64
2021-01-12,55,0,56
2021-01-13,53,1,40
2021-01-14,19,0,31
2021-01-15,15,1,42
2021-01-16,32,4,61
2021-01-17,22,3,30
