Date,Confirmed,Deceased,Recovered
2020-03-14,0,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,0,0,0
2020-03-19,0,0,0
2020-03-20,4,0,0
2020-03-21,0,0,0
2020-03-22,2,0,0
2020-03-23,0,0,0
2020-03-24,1,0,0
2020-03-25,8,1,0
2020-03-26,5,0,0
2020-03-27,9,1,0
2020-03-28,10,0,0
2020-03-29,0,0,0
2020-03-30,8,2,0
2020-03-31,19,1,0
2020-04-01,32,1,0
2020-04-02,9,2,0
2020-04-03,47,0,0
2020-04-04,25,3,0
2020-04-05,14,2,3
2020-04-06,63,2,8
2020-04-07,34,6,10
2020-04-08,51,3,4
2020-04-09,70,9,0
2020-04-10,40,4,12
2020-04-11,78,4,1
2020-04-12,33,3,3
2020-04-13,52,7,10
2020-04-14,127,3,13
2020-04-15,197,0,0
2020-04-16,226,2,6
2020-04-17,146,14,0
2020-04-18,92,0,57
2020-04-19,5,3,4
2020-04-20,78,4,7
2020-04-21,67,4,10
2020-04-22,35,0,4
2020-04-23,100,3,51
2020-04-24,159,9,7
2020-04-25,99,7,71
2020-04-26,145,4,21
2020-04-27,75,7,55
2020-04-28,222,10,16
2020-04-29,173,10,88
2020-04-30,65,7,21
2020-05-01,90,8,42
2020-05-02,73,6,100
2020-05-03,49,5,174
2020-05-04,105,9,58
2020-05-05,107,11,144
2020-05-06,89,9,99
2020-05-07,114,8,132
2020-05-08,89,7,118
2020-05-09,116,11,131
2020-05-10,157,4,196
2020-05-11,171,6,71
2020-05-12,201,4,113
2020-05-13,187,7,144
2020-05-14,253,5,167
2020-05-15,169,2,112
2020-05-16,195,4,32
2020-05-17,187,5,88
2020-05-18,259,4,32
2020-05-19,229,6,196
2020-05-20,270,9,103
2020-05-21,246,4,110
2020-05-22,189,1,245
2020-05-23,201,9,178
2020-05-24,294,9,141
2020-05-25,194,10,163
2020-05-26,165,5,118
2020-05-27,237,8,238
2020-05-28,192,8,123
2020-05-29,192,13,219
2020-05-30,246,9,175
2020-05-31,198,7,398
2020-06-01,194,8,161
2020-06-02,137,6,218
2020-06-03,168,7,224
2020-06-04,174,6,192
2020-06-05,234,7,241
2020-06-06,232,15,230
2020-06-07,173,13,223
2020-06-08,237,2,205
2020-06-09,211,6,193
2020-06-10,200,7,163
2020-06-11,192,4,150
2020-06-12,202,9,159
2020-06-13,198,7,176
2020-06-14,161,12,300
2020-06-15,133,6,226
2020-06-16,148,11,249
2020-06-17,161,6,236
2020-06-18,182,4,244
2020-06-19,156,9,116
2020-06-20,142,6,132
2020-06-21,179,14,135
2020-06-22,175,6,200
2020-06-23,183,4,120
2020-06-24,187,9,138
2020-06-25,147,8,146
2020-06-26,203,4,185
2020-06-27,167,4,167
2020-06-28,221,7,113
2020-06-29,184,7,115
2020-06-30,223,8,196
2020-07-01,268,9,260
2020-07-02,245,8,160
2020-07-03,191,4,234
2020-07-04,307,5,185
2020-07-05,326,10,177
2020-07-06,354,9,168
2020-07-07,343,5,189
2020-07-08,409,7,219
2020-07-09,305,5,245
2020-07-10,316,4,249
2020-07-11,544,6,198
2020-07-12,431,9,197
2020-07-13,575,10,332
2020-07-14,798,10,367
2020-07-15,638,9,333
2020-07-16,735,7,219
2020-07-17,704,9,387
2020-07-18,681,8,350
2020-07-19,837,15,447
2020-07-20,710,17,373
2020-07-21,785,18,573
2020-07-22,747,14,579
2020-07-23,632,10,523
2020-07-24,736,11,507
2020-07-25,716,8,622
2020-07-26,874,12,644
2020-07-27,789,9,659
2020-07-28,628,10,552
2020-07-29,917,14,591
2020-07-30,834,13,723
2020-07-31,838,10,614
2020-08-01,808,9,698
2020-08-02,921,10,581
2020-08-03,750,14,549
2020-08-04,797,12,1315
2020-08-05,652,17,650
2020-08-06,830,17,838
2020-08-07,734,16,719
2020-08-08,859,15,732
2020-08-09,868,19,667
2020-08-10,866,19,654
2020-08-11,843,18,922
2020-08-12,870,15,643
2020-08-13,1014,17,596
2020-08-14,796,16,570
2020-08-15,1019,13,948
2020-08-16,1022,11,685
2020-08-17,930,23,987
2020-08-18,990,13,688
2020-08-19,976,18,762
2020-08-20,1142,12,1065
2020-08-21,1147,14,987
2020-08-22,1226,21,872
2020-08-23,1263,23,991
2020-08-24,1292,17,841
2020-08-25,1379,19,1079
2020-08-26,1064,17,936
2020-08-27,1317,24,1207
2020-08-28,1252,17,943
2020-08-29,1442,22,1017
2020-08-30,1558,29,1054
2020-08-31,1532,20,1190
2020-09-01,1525,32,1335
2020-09-02,1424,27,1132
2020-09-03,1672,30,1091
2020-09-04,1658,30,1042
2020-09-05,1636,30,1392
2020-09-06,1694,29,1238
2020-09-07,1885,17,1022
2020-09-08,1864,20,1600
2020-09-09,1869,31,1341
2020-09-10,2187,21,1435
2020-09-11,2240,30,1651
2020-09-12,2347,37,1462
2020-09-13,2281,34,1600
2020-09-14,2483,29,1713
2020-09-15,2323,29,1902
2020-09-16,2462,24,1922
2020-09-17,2391,33,2863
2020-09-18,2552,24,2554
2020-09-19,2607,42,2206
2020-09-20,2579,27,2216
2020-09-21,2523,37,2244
2020-09-22,2544,28,2412
2020-09-23,2346,42,2138
2020-09-24,2304,45,2327
2020-09-25,2227,30,2743
2020-09-26,2311,29,2252
2020-09-27,2310,26,2081
2020-09-28,1957,35,2441
2020-09-29,1877,39,2433
2020-09-30,2004,35,2289
2020-10-01,2041,20,2545
2020-10-02,2019,36,2332
2020-10-03,1811,27,2101
2020-10-04,1720,35,2120
2020-10-05,1460,29,2046
2020-10-06,1570,25,2161
2020-10-07,1639,30,2228
2020-10-08,1715,29,2420
2020-10-09,1607,27,2200
2020-10-10,1616,25,2147
2020-10-11,1575,25,1985
2020-10-12,1478,21,1702
2020-10-13,1463,26,1708
2020-10-14,5515,15,5729
2020-10-15,1308,24,1559
2020-10-16,1352,25,1556
2020-10-17,1222,18,1434
2020-10-18,1030,20,1427
2020-10-19,1015,13,1287
2020-10-20,975,25,1439
2020-10-21,1118,17,1222
2020-10-22,1045,14,1271
2020-10-23,953,13,1325
2020-10-24,1004,20,1268
2020-10-25,951,10,1181
2020-10-26,720,5,1095
2020-10-27,514,8,1010
2020-10-28,788,15,1032
2020-10-29,728,16,1117
2020-10-30,691,12,1074
2020-10-31,669,10,1024
2020-11-01,723,7,1107
2020-11-02,635,7,868
2020-11-03,667,9,912
2020-11-04,707,13,884
2020-11-05,734,5,817
2020-11-06,778,12,856
2020-11-07,865,13,792
2020-11-08,891,11,688
2020-11-09,809,6,681
2020-11-10,900,8,793
2020-11-11,883,13,691
2020-11-12,1046,10,692
2020-11-13,1048,11,833
2020-11-14,1012,7,876
2020-11-15,870,7,722
2020-11-16,597,2,745
2020-11-17,922,10,848
2020-11-18,1209,13,918
2020-11-19,1363,14,887
2020-11-20,1528,9,917
2020-11-21,1700,11,899
2020-11-22,1798,13,1212
2020-11-23,1701,10,1120
2020-11-24,1766,11,1112
2020-11-25,1773,14,996
2020-11-26,1668,12,1199
2020-11-27,1645,15,1152
2020-11-28,1634,13,1317
2020-11-29,1514,13,1508
2020-11-30,1383,10,1576
2020-12-01,1357,10,1683
2020-12-02,1439,17,1838
2020-12-03,1450,13,1569
2020-12-04,1324,14,1556
2020-12-05,1352,12,1449
2020-12-06,1455,11,1585
2020-12-07,1452,10,1390
2020-12-08,1345,11,1497
2020-12-09,1272,8,1323
2020-12-10,1319,7,1307
2020-12-11,1222,9,1347
2020-12-12,1282,9,1418
2020-12-13,1181,13,1278
2020-12-14,1058,8,1084
2020-12-15,1073,13,1347
2020-12-16,1079,8,1257
2020-12-17,1161,9,1326
2020-12-18,1181,11,1450
2020-12-19,1085,15,1410
2020-12-20,1069,13,1274
2020-12-21,1035,9,1290
2020-12-22,1005,12,1053
2020-12-23,1007,12,1223
2020-12-24,1038,10,1118
2020-12-25,1031,12,1234
2020-12-26,1006,9,1129
2020-12-27,946,18,1160
2020-12-28,876,9,1090
2020-12-29,853,10,1122
2020-12-30,866,13,1061
2020-12-31,844,11,866
2021-01-01,780,12,900
2021-01-02,731,9,855
2021-01-03,724,14,947
2021-01-04,621,7,857
2021-01-05,671,14,839
2021-01-06,730,8,633
2021-01-07,774,12,750
2021-01-08,614,9,809
2021-01-09,541,10,826
2021-01-10,620,10,816
2021-01-11,485,7,650
2021-01-12,471,8,615
2021-01-13,456,6,655
2021-01-14,420,8,598
2021-01-15,429,6,574
