Date,Confirmed,Deceased,Recovered
2020-03-14,1,0,0
2020-03-15,0,0,0
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,1,0,0
2020-03-19,0,1,0
2020-03-20,1,0,0
2020-03-21,10,0,0
2020-03-22,8,0,0
2020-03-23,2,0,0
2020-03-24,6,0,0
2020-03-25,2,0,0
2020-03-26,2,0,0
2020-03-27,5,0,1
2020-03-28,0,0,0
2020-03-29,0,0,0
2020-03-30,3,2,0
2020-03-31,1,1,0
2020-04-01,4,0,0
2020-04-02,1,1,0
2020-04-03,6,0,0
2020-04-04,12,0,2
2020-04-05,3,2,1
2020-04-06,11,0,0
2020-04-07,20,1,10
2020-04-08,7,1,0
2020-04-09,24,1,4
2020-04-10,21,1,2
2020-04-11,7,1,0
2020-04-12,12,0,3
2020-04-13,6,0,2
2020-04-14,8,1,2
2020-04-15,2,0,0
2020-04-16,11,1,2
2020-04-17,14,0,1
2020-04-18,23,2,1
2020-04-19,10,0,6
2020-04-20,1,0,1
2020-04-21,6,0,11
2020-04-22,27,0,4
2020-04-23,5,1,13
2020-04-24,15,0,4
2020-04-25,10,0,2
2020-04-26,14,1,12
2020-04-27,8,1,14
2020-04-28,12,0,3
2020-04-29,33,0,0
2020-04-30,105,1,3
2020-05-01,105,0,4
2020-05-02,187,0,4
2020-05-03,330,1,5
2020-05-04,130,2,11
2020-05-05,219,2,5
2020-05-06,75,2,2
2020-05-07,118,1,14
2020-05-08,87,1,3
2020-05-09,31,2,5
2020-05-10,61,0,9
2020-05-11,54,0,2
2020-05-12,37,1,3
2020-05-13,10,0,29
2020-05-14,11,0,23
2020-05-15,-3,0,82
2020-05-16,14,0,952
2020-05-17,18,3,109
2020-05-18,16,2,181
2020-05-19,22,1,95
2020-05-20,3,0,152
2020-05-21,23,1,25
2020-05-22,1,0,28
2020-05-23,16,0,23
2020-05-24,15,1,28
2020-05-25,21,0,15
2020-05-26,25,0,5
2020-05-27,33,0,0
2020-05-28,19,0,28
2020-05-29,39,2,3
2020-05-30,36,2,18
2020-05-31,30,1,20
2020-06-01,38,-1,13
2020-06-02,41,2,17
2020-06-03,34,1,12
2020-06-04,39,0,14
2020-06-05,46,1,26
2020-06-06,54,2,23
2020-06-07,93,1,14
2020-06-08,55,2,22
2020-06-09,56,2,39
2020-06-10,86,0,65
2020-06-11,82,4,27
2020-06-12,99,4,23
