Date,Confirmed,Deceased,Recovered
2020-03-14,3,0,1
2020-03-15,1,0,2
2020-03-16,0,0,0
2020-03-17,0,0,0
2020-03-18,3,0,0
2020-03-19,2,0,0
2020-03-20,8,0,0
2020-03-21,7,0,0
2020-03-22,4,0,0
2020-03-23,4,0,0
2020-03-24,0,0,0
2020-03-25,6,0,0
2020-03-26,2,0,0
2020-03-27,10,0,0
2020-03-28,4,0,0
2020-03-29,5,0,0
2020-03-30,20,0,0
2020-03-31,14,0,0
2020-04-01,27,0,0
2020-04-02,13,0,0
2020-04-03,46,0,0
2020-04-04,27,1,22
2020-04-05,60,0,0
2020-04-06,35,1,0
2020-04-07,42,0,0
2020-04-08,40,1,20
2020-04-09,80,0,15
2020-04-10,98,0,0
2020-04-11,139,6,56
2020-04-12,104,2,5
2020-04-13,93,0,0
2020-04-14,108,0,26
2020-04-15,71,0,0
2020-04-16,55,0,17
2020-04-17,98,6,19
2020-04-18,122,4,17
2020-04-19,127,2,5
2020-04-20,98,2,0
2020-04-21,159,1,69
2020-04-22,153,1,70
2020-04-23,76,1,107
2020-04-24,70,4,42
2020-04-25,49,2,20
2020-04-26,102,7,116
2020-04-27,77,9,115
2020-04-28,102,2,26
2020-04-29,76,3,44
2020-04-30,144,3,79
2020-05-01,82,4,223
2020-05-02,106,6,126
2020-05-03,114,3,114
2020-05-04,175,6,82
2020-05-05,97,12,87
2020-05-06,159,4,214
2020-05-07,110,6,150
2020-05-08,152,4,122
2020-05-09,129,3,151
2020-05-10,106,2,79
2020-05-11,174,5,83
2020-05-12,138,4,130
2020-05-13,202,4,119
2020-05-14,206,4,65
2020-05-15,213,0,91
2020-05-16,213,1,215
2020-05-17,242,5,111
2020-05-18,305,7,163
2020-05-19,338,5,119
2020-05-20,170,4,67
2020-05-21,212,4,81
2020-05-22,267,2,195
2020-05-23,248,7,106
2020-05-24,286,3,62
2020-05-25,272,4,208
2020-05-26,236,3,220
2020-05-27,280,3,286
2020-05-28,251,7,253
2020-05-29,298,4,429
2020-05-30,252,9,495
2020-05-31,214,1,293
2020-06-01,269,5,181
2020-06-02,273,4,222
2020-06-03,279,6,309
2020-06-04,210,4,360
2020-06-05,222,5,255
2020-06-06,253,13,142
2020-06-07,262,9,253
2020-06-08,277,6,363
2020-06-09,369,9,211
2020-06-10,355,4,241
2020-06-11,238,6,206
2020-06-12,230,7,236
2020-06-13,333,10,326
2020-06-14,293,10,229
2020-06-15,287,9,219
2020-06-16,235,7,177
2020-06-17,326,5,505
2020-06-18,315,17,275
2020-06-19,299,3,255
2020-06-20,381,4,277
2020-06-21,393,12,323
2020-06-22,302,7,313
2020-06-23,395,9,303
2020-06-24,382,10,398
2020-06-25,287,4,229
2020-06-26,364,1,222
2020-06-27,284,11,305
2020-06-28,327,8,244
2020-06-29,389,6,310
2020-06-30,348,8,299
2020-07-01,304,8,354
2020-07-02,350,9,374
2020-07-03,390,10,333
2020-07-04,480,7,359
2020-07-05,632,9,288
2020-07-06,524,5,350
2020-07-07,716,11,297
2020-07-08,659,10,291
2020-07-09,500,9,204
2020-07-10,611,6,550
2020-07-11,574,6,249
2020-07-12,644,7,234
2020-07-13,544,8,527
2020-07-14,635,6,539
2020-07-15,866,6,333
2020-07-16,737,8,468
2020-07-17,615,8,656
2020-07-18,711,7,518
2020-07-19,934,6,586
2020-07-20,956,9,465
2020-07-21,983,9,549
2020-07-22,961,6,620
2020-07-23,886,11,451
2020-07-24,958,8,732
2020-07-25,1120,11,759
2020-07-26,1132,11,648
2020-07-27,1134,9,880
2020-07-28,1072,11,483
2020-07-29,1144,10,992
2020-07-30,1156,13,922
2020-07-31,1147,13,614
2020-08-01,1160,14,823
2020-08-02,1167,12,548
2020-08-03,1145,13,835
2020-08-04,1124,13,781
2020-08-05,1166,13,1017
2020-08-06,1151,12,1282
2020-08-07,1161,10,1064
2020-08-08,1171,11,968
2020-08-09,1169,11,1072
2020-08-10,1173,11,825
2020-08-11,1217,11,1339
2020-08-12,1213,11,1249
2020-08-13,1314,11,171
2020-08-14,1278,13,2078
2020-08-15,1287,16,1357
2020-08-16,1317,14,1350
2020-08-17,1334,11,1050
2020-08-18,1347,11,1306
2020-08-19,1312,12,1003
2020-08-20,1330,11,1227
2020-08-21,1335,12,1306
2020-08-22,1310,11,1648
2020-08-23,1345,11,1180
2020-08-24,1346,12,1276
2020-08-25,1370,13,1526
2020-08-26,1345,12,1453
2020-08-27,1345,13,1006
2020-08-28,1355,12,1448
2020-08-29,1407,13,938
2020-08-30,1450,13,2122
2020-08-31,1466,13,1719
2020-09-01,1470,13,1312
2020-09-02,1511,12,2550
2020-09-03,1553,14,546
2020-09-04,1570,13,679
2020-09-05,1566,14,1346
2020-09-06,1593,15,1616
2020-09-07,1580,14,1566
2020-09-08,1590,13,1445
2020-09-09,1610,14,1578
2020-09-10,1640,14,1032
2020-09-11,1660,15,1488
2020-09-12,1669,14,932
