Date,Confirmed,Deceased,Recovered
2020-03-14,1,0,0
2020-03-15,2,0,1
2020-03-16,1,0,0
2020-03-17,1,0,0
2020-03-18,8,0,0
2020-03-19,3,0,0
2020-03-20,3,0,0
2020-03-21,2,0,0
2020-03-22,6,0,0
2020-03-23,6,0,0
2020-03-24,4,0,0
2020-03-25,4,0,0
2020-03-26,3,0,0
2020-03-27,15,0,0
2020-03-28,8,1,0
2020-03-29,3,0,0
2020-03-30,7,5,13
2020-03-31,20,0,0
2020-04-01,30,3,0
2020-04-02,27,0,3
2020-04-03,75,2,15
2020-04-04,43,0,1
2020-04-05,62,0,0
2020-04-06,30,0,12
2020-04-07,40,0,0
2020-04-08,49,0,0
2020-04-09,18,1,0
2020-04-10,16,0,0
2020-04-11,16,2,51
2020-04-12,28,2,7
2020-04-13,61,1,0
2020-04-14,52,1,7
2020-04-15,6,0,8
2020-04-16,50,0,68
2020-04-17,66,0,0
2020-04-18,43,0,0
2020-04-19,49,3,0
2020-04-20,14,2,0
2020-04-21,56,0,8
2020-04-22,15,1,0
2020-04-23,27,1,58
2020-04-24,13,0,39
2020-04-25,7,0,16
2020-04-26,11,0,9
2020-04-27,2,0,16
2020-04-28,6,0,42
2020-04-29,7,0,35
2020-04-30,22,3,33
2020-05-01,6,0,22
2020-05-02,17,1,35
2020-05-03,21,0,46
2020-05-04,3,0,40
2020-05-05,11,0,43
2020-05-06,11,0,20
2020-05-07,15,0,45
2020-05-08,10,0,34
2020-05-09,31,1,24
2020-05-10,33,0,0
2020-05-11,79,0,50
2020-05-12,51,2,21
2020-05-13,41,2,117
2020-05-14,47,0,13
2020-05-15,40,0,7
2020-05-16,55,0,12
2020-05-17,42,0,21
2020-05-18,41,0,10
2020-05-19,42,4,9
2020-05-20,27,2,2
2020-05-21,38,5,23
2020-05-22,62,3,7
2020-05-23,52,1,25
2020-05-24,41,4,24
2020-05-25,66,3,72
2020-05-26,112,1,120
2020-05-27,107,6,37
2020-05-28,117,4,24
2020-05-29,169,4,36
2020-05-30,74,6,31
2020-05-31,199,5,16
2020-06-01,94,6,63
2020-06-02,99,4,35
2020-06-03,129,7,30
2020-06-04,127,6,31
2020-06-05,143,8,40
2020-06-06,206,10,83
2020-06-07,154,14,32
2020-06-08,92,5,0
2020-06-09,178,6,0
2020-06-10,191,8,75
2020-06-11,209,9,176
2020-06-12,164,9,285
2020-06-13,253,8,74
